id_student,total_clicks,avg_clicks_per_day,active_days,first_activity,last_activity,activity_span
40333,174,2.4166666666666665,15,-18,17,35
40419,704,2.707692307692308,40,-13,235,248
40508,91,3.1379310344827585,5,-9,5,14
40563,584,1.9796610169491526,60,-18,233,251
40604,429,2.1776649746192893,53,-16,236,252
40857,304,2.3384615384615386,19,-17,103,120
40878,2275,3.6634460547504024,88,-18,255,273
41060,411,1.9205607476635513,34,-16,170,186
41414,965,3.316151202749141,66,-7,231,238
41489,53,1.8928571428571428,6,-11,24,35
41547,991,3.8115384615384613,61,-2,233,235
42552,4774,4.101374570446735,138,-18,263,281
42616,3888,3.4165202108963095,163,-17,251,268
42638,11407,3.5228536133415687,252,-18,267,285
42668,2573,3.5489655172413794,108,-18,232,250
42746,10416,3.8894697535474236,219,-18,268,286
42818,200,2.150537634408602,20,-18,37,55
43273,1608,4.133676092544987,66,-12,226,238
43284,847,2.0071090047393363,96,-16,227,243
43430,5485,4.288506645817044,158,-18,237,255
43564,2249,3.729684908789386,112,-11,261,272
43958,3205,3.2604272634791456,93,-18,110,128
45423,3872,4.907477820025348,80,-4,241,245
45462,1466,4.129577464788732,90,-10,267,277
45642,1416,2.6666666666666665,105,-9,264,273
45664,1416,2.671698113207547,90,-15,235,250
46016,389,1.8436018957345972,38,-22,190,212
46048,12,4.0,1,38,38,0
46148,3523,4.254830917874396,123,2,240,238
46605,3313,3.267258382642998,208,-18,241,259
46705,1090,2.5952380952380953,73,-18,221,239
46753,1758,3.2737430167597767,86,-18,229,247
46812,141,3.0,15,2,40,38
46844,340,2.0238095238095237,46,-23,264,287
47061,347,3.4019607843137254,20,29,234,205
47063,137,1.7125,29,-6,149,155
47855,12,1.5,6,24,99,75
47861,7952,4.73051754907793,201,-18,249,267
47891,118,2.1454545454545455,14,-9,124,133
47924,34,2.6153846153846154,2,44,47,3
48040,1829,2.200962695547533,158,-10,268,278
48152,528,2.966292134831461,40,-17,261,278
48503,434,2.5833333333333335,39,-3,245,248
48635,4427,4.035551504102097,161,-15,241,256
49119,2231,2.7407862407862407,114,-17,240,257
49123,1322,4.7898550724637685,62,2,226,224
49670,33,6.6,1,4,4,0
50069,531,2.54066985645933,28,-9,220,229
50263,5912,4.418535127055306,164,-18,240,258
50476,568,2.4588744588744587,33,-18,228,246
50487,4338,4.386248736097068,131,-18,265,283
50610,13,1.1818181818181819,4,-11,8,19
50993,176,2.1728395061728394,23,-5,171,176
51030,804,2.0150375939849625,61,-18,233,251
51033,912,2.0821917808219177,58,-25,240,265
51153,1179,2.524625267665953,101,-25,235,260
51163,1167,2.509677419354839,79,-9,244,253
51301,670,2.576923076923077,48,-10,45,55
51485,2555,3.8421052631578947,87,-17,265,282
51576,5172,5.156530408773679,105,-17,248,265
51955,405,1.426056338028169,69,-22,259,281
52014,335,2.8879310344827585,46,7,226,219
52130,1894,3.193929173693086,122,-4,245,249
52275,91,3.3703703703703702,5,-15,35,50
52426,68,2.193548387096774,5,5,81,76
52702,322,3.389473684210526,15,-6,227,233
52765,4936,3.8027734976887517,190,-21,268,289
52797,1117,3.2852941176470587,61,-10,242,252
52899,2296,3.3715124816446402,130,-9,254,263
53025,3152,3.4867256637168142,142,-7,257,264
53136,3316,3.9903730445246692,111,-1,226,227
53166,2532,5.156822810590631,64,-6,236,242
53197,60,2.727272727272727,5,33,88,55
53236,43,3.3076923076923075,5,-4,5,9
53300,1738,2.5979073243647233,124,-18,242,260
53360,22,2.0,3,-4,10,14
53488,1397,2.324459234608985,105,-16,237,253
53626,39,2.7857142857142856,4,-12,16,28
53632,583,2.1592592592592594,38,-7,158,165
53709,2448,4.198970840480275,82,2,241,239
53895,65,3.25,5,3,56,53
54062,1584,4.0,85,-18,267,285
54388,42,6.0,1,-5,-5,0
54391,159,3.18,8,17,100,83
54810,701,2.4172413793103447,71,-25,241,266
54867,600,3.592814371257485,18,-15,30,45
54882,494,2.9404761904761907,44,-18,257,275
55013,604,2.99009900990099,35,-17,130,147
55026,283,2.3388429752066116,39,-6,239,245
55104,1480,2.8136882129277567,75,-24,261,285
55242,13,1.4444444444444444,4,26,90,64
55419,241,2.9390243902439024,11,-13,29,42
55450,1178,3.6927899686520376,37,10,165,155
55968,578,2.979381443298969,47,-9,206,215
56340,4,2.0,1,24,24,0
56637,5300,4.003021148036254,178,-18,241,259
56667,562,3.4906832298136647,23,-18,241,259
56789,379,2.5099337748344372,33,-9,240,249
57079,776,2.2427745664739884,66,-2,264,266
57227,1425,2.3514851485148514,133,-18,258,276
57285,283,4.161764705882353,9,6,200,194
57340,1027,3.18944099378882,54,-18,228,246
57359,217,2.411111111111111,10,-10,3,13
57506,1319,3.272952853598015,90,-10,243,253
57818,2950,2.929493545183714,150,-18,256,274
57844,1719,4.044705882352941,64,-18,235,253
58071,3569,4.5120101137800255,149,-24,263,287
58077,37,1.7619047619047619,5,-13,74,87
58089,102,2.217391304347826,6,2,138,136
58316,1295,3.0760095011876483,102,-24,253,277
58549,2262,3.8469387755102042,86,-16,228,244
58617,816,3.1264367816091956,45,-17,213,230
58640,1607,2.52276295133438,113,-17,265,282
58653,383,2.7753623188405796,40,11,258,247
58731,177,1.5258620689655173,18,30,239,209
58873,1732,3.2927756653992395,120,-10,256,266
58884,5031,3.8084784254352764,177,-16,269,285
59185,1102,3.1942028985507247,61,-10,245,255
59272,1403,3.7018469656992083,76,-9,251,260
59275,522,3.4342105263157894,28,-3,165,168
59370,2057,2.802452316076294,141,-10,261,271
59541,321,3.962962962962963,10,1,26,25
59725,859,3.0140350877192983,71,-9,228,237
60135,2706,3.037037037037037,115,-16,240,256
60162,762,4.031746031746032,34,11,258,247
60405,832,3.81651376146789,54,-6,258,264
60416,4949,4.949,215,-9,234,243
60519,3019,3.850765306122449,80,-18,78,96
60809,4234,3.5820642978003385,181,0,255,255
60830,1365,3.3870967741935485,81,-9,220,229
61227,4207,4.0726040658276865,128,-15,258,273
61236,502,3.0240963855421685,57,-18,72,90
61297,94,3.032258064516129,7,-18,-3,15
61352,181,2.4794520547945207,15,-3,39,42
61911,448,3.0684931506849313,46,-16,212,228
62034,1835,2.6364942528735633,106,-18,265,283
62155,3388,3.45361875637105,148,-10,265,275
62278,990,2.391304347826087,79,-18,177,195
62487,683,2.501831501831502,54,-23,241,264
62631,525,3.30188679245283,33,-2,129,131
62975,274,2.946236559139785,17,-3,150,153
63015,694,2.059347181008902,66,-17,262,279
63044,231,2.431578947368421,16,0,110,110
63112,3459,4.605858854860187,111,-18,254,272
63165,912,2.6666666666666665,87,-23,267,290
63295,919,3.7818930041152266,44,-15,257,272
63371,3110,3.6892052194543297,145,-18,265,283
63400,2727,3.588157894736842,175,-10,268,278
63467,654,4.219354838709678,29,-9,200,209
63566,1232,2.392233009708738,71,-15,236,251
63721,771,2.0725806451612905,67,-8,218,226
63827,108,1.4025974025974026,22,-7,140,147
63856,965,2.2652582159624415,102,-18,258,276
63949,432,3.4015748031496065,30,-15,210,225
63958,110,2.037037037037037,9,-18,45,63
64275,199,2.518987341772152,22,2,209,207
64296,1204,4.23943661971831,34,-18,97,115
64388,4076,3.5911894273127754,156,-18,267,285
64427,5264,5.0276981852913085,188,-3,241,244
64450,3255,3.3282208588957056,153,-18,236,254
64767,206,2.7837837837837838,28,-17,146,163
64901,814,3.2301587301587302,49,2,229,227
65002,176,3.142857142857143,13,-10,215,225
65656,1498,4.161111111111111,107,-17,240,257
66047,52,1.793103448275862,8,-17,37,54
66254,2069,3.2582677165354332,80,-10,223,233
66451,915,3.1122448979591835,33,-14,234,248
66577,143,1.9066666666666667,17,-18,86,104
66579,681,2.779591836734694,38,-14,148,162
66713,1794,4.647668393782383,87,-11,248,259
66892,329,2.611111111111111,17,10,52,42
67182,354,2.107142857142857,32,-15,229,244
67471,1113,2.3530655391120505,52,-16,253,269
67505,1246,2.4673267326732673,72,-18,245,263
67539,1378,3.6455026455026456,92,-17,265,282
67602,797,2.054123711340206,72,3,237,234
67685,2273,2.84125,171,-18,269,287
67781,1771,2.167686658506732,130,-15,236,251
67785,1351,2.691235059760956,74,-4,234,238
67986,637,2.9906103286384975,32,-18,51,69
68011,360,2.1951219512195124,31,-11,62,73
68107,4085,3.9814814814814814,116,-8,243,251
68208,7204,3.813658020116464,157,-18,240,258
68376,1085,2.0588235294117645,81,-9,246,255
68417,1270,2.8863636363636362,93,-19,239,258
68556,98,1.849056603773585,15,-6,96,102
69346,1329,5.211764705882353,32,-18,33,51
69439,252,2.3773584905660377,13,-17,52,69
69489,215,2.193877551020408,21,-18,24,42
69491,373,2.1193181818181817,49,-2,226,228
69494,1996,3.4003407155025553,84,-18,177,195
69703,657,2.607142857142857,71,-18,230,248
70011,6396,3.4931731294374657,227,-13,269,282
70214,3378,4.1144945188794155,147,-16,244,260
70381,733,3.0289256198347108,68,-14,241,255
70464,1053,5.136585365853659,46,-10,248,258
70495,6979,4.050493325594893,193,-18,250,268
70537,2365,4.178445229681979,119,-2,239,241
70569,943,3.772,56,-9,256,265
70608,270,2.25,27,-5,233,238
70750,103,1.7457627118644068,8,-9,14,23
70771,179,3.977777777777778,6,-4,61,65
70827,260,3.25,18,0,66,66
71159,4748,4.517602283539486,117,-12,263,275
71209,483,1.8226415094339623,68,-13,241,254
71252,990,3.018292682926829,37,-14,237,251
71361,2327,3.1964285714285716,135,-10,243,253
71433,60,1.5,8,-4,19,23
71504,1049,3.227692307692308,59,-9,237,246
71578,1180,3.4104046242774566,57,-18,225,243
71676,1077,2.095330739299611,92,-25,253,278
71723,703,2.6528301886792454,54,-11,180,191
71897,261,2.868131868131868,17,-16,23,39
72114,3742,3.2969162995594714,137,-16,241,257
72349,134,2.4814814814814814,10,-4,25,29
72400,420,1.9090909090909092,36,-8,216,224
72609,5935,3.260989010989011,208,-18,269,287
72693,2019,4.620137299771167,92,-15,226,241
72864,1286,3.896969696969697,42,-7,231,238
73019,540,4.21875,37,5,240,235
73489,1843,3.172117039586919,144,-10,264,274
73584,204,2.372093023255814,12,-9,92,101
73664,141,1.5494505494505495,26,13,145,132
73874,921,3.7901234567901234,34,-8,120,128
74113,539,3.0625,23,-18,158,176
74165,1637,3.8517647058823528,62,-3,269,272
74290,271,2.4414414414414414,25,-10,52,62
74372,116,1.6111111111111112,14,-5,213,218
74502,3591,2.4395380434782608,207,-18,261,279
74521,1118,3.65359477124183,46,-16,227,243
74524,96,2.0,7,10,58,48
74585,7433,6.2409739714525605,171,-10,265,275
74695,3648,4.039867109634551,122,-9,236,245
74734,208,1.8571428571428572,34,4,228,224
75091,2955,3.919098143236074,122,-10,254,264
75107,5825,3.6635220125786163,175,-11,266,277
75255,891,2.675675675675676,79,-24,243,267
75309,1,1.0,1,-13,-13,0
75399,489,2.0720338983050848,49,-9,219,228
75427,1073,2.876675603217158,112,-24,261,285
75454,3379,4.320971867007673,129,-18,237,255
75728,1293,2.8861607142857144,70,-18,100,118
76081,1728,2.1228501228501226,142,-25,261,286
76536,18,1.2857142857142858,7,14,51,37
76579,2052,3.4257095158597664,118,-18,235,253
76949,1450,2.8884462151394423,94,-18,268,286
77241,224,2.3092783505154637,24,1,139,138
77367,680,2.5092250922509227,86,-10,250,260
77692,2250,5.798969072164948,30,1,242,241
77744,2154,3.6262626262626263,84,-16,231,247
77746,110,3.6666666666666665,8,19,72,53
77763,1354,2.47985347985348,101,-16,226,242
77845,424,3.0285714285714285,19,-18,129,147
77995,619,3.1907216494845363,30,-1,233,234
77998,1053,2.53125,72,-10,228,238
78170,2655,3.069364161849711,109,-18,236,254
78255,321,1.9221556886227544,39,-10,215,225
78645,426,2.108910891089109,40,-9,179,188
79261,1810,3.762993762993763,59,-9,236,245
79403,1639,4.750724637681159,76,-18,164,182
79461,706,3.922222222222222,46,2,220,218
79610,2275,3.9703315881326353,92,-18,264,282
79683,424,3.212121212121212,23,4,94,90
80329,3480,2.720875684128225,177,-18,260,278
80358,1460,2.813102119460501,94,-17,242,259
80438,3003,3.9880478087649402,107,-13,263,276
80448,350,3.0973451327433628,25,-1,225,226
80491,282,2.473684210526316,43,6,198,192
80717,3634,3.16,197,-10,267,277
80745,941,3.035483870967742,44,-13,235,248
80775,698,2.0712166172106823,78,-25,240,265
80868,23423,5.633237133237134,284,-18,269,287
80886,533,3.5298013245033113,26,-18,46,64
81216,13,1.8571428571428572,1,-2,-2,0
81351,817,2.2569060773480665,96,-1,214,215
81536,452,2.5828571428571427,29,-18,68,86
81754,310,2.4031007751937983,34,-8,114,122
82088,1100,2.5,84,-18,110,128
82201,591,3.0463917525773194,25,2,87,85
82341,417,2.936619718309859,29,-2,227,229
82535,352,2.1204819277108435,45,-6,194,200
82556,1139,5.372641509433962,20,-14,88,102
82575,585,2.5324675324675323,43,-18,233,251
82741,879,2.4553072625698324,43,1,226,225
82817,1117,3.5348101265822787,47,0,222,222
83219,3178,3.661290322580645,131,-18,233,251
83254,933,2.2811735941320292,70,-6,238,244
83453,380,2.7941176470588234,13,-18,117,135
83553,393,2.519230769230769,29,-10,110,120
83603,2792,3.588688946015424,120,-14,236,250
84051,210,2.5,28,-9,220,229
84245,657,2.046728971962617,74,-9,227,236
84299,1566,2.75219683655536,90,-18,226,244
84541,168,2.7096774193548385,11,-6,69,75
84576,1961,2.7934472934472936,114,-17,239,256
84604,7091,4.31063829787234,156,-18,258,276
84605,1194,2.9554455445544554,74,-18,240,258
84664,495,2.8285714285714287,35,-8,226,234
84812,474,2.6187845303867405,48,-10,266,276
85092,665,2.8663793103448274,32,-12,241,253
85144,656,2.1578947368421053,75,-17,269,286
85241,204,2.193548387096774,16,-4,52,56
85302,2273,3.289435600578871,127,-24,250,274
85304,23,3.8333333333333335,1,-16,-16,0
85325,81,1.8409090909090908,6,3,49,46
85874,1778,4.1157407407407405,37,-16,123,139
86047,1065,2.795275590551181,51,-13,227,240
86291,197,3.078125,12,21,177,156
86538,1449,5.066433566433567,51,-7,135,142
86669,1852,3.474671669793621,88,-18,264,282
87107,861,2.3207547169811322,77,-3,226,229
87152,2003,3.982107355864811,109,-10,213,223
87264,7628,4.567664670658683,175,-18,269,287
87322,1502,3.265217391304348,68,-18,243,261
87431,796,3.9211822660098523,29,-19,235,254
87732,1018,2.395294117647059,83,-9,236,245
87929,563,3.632258064516129,34,-1,223,224
88340,187,2.2,23,-4,99,103
88439,809,2.151595744680851,74,-24,241,265
88490,937,2.236276849642005,77,-14,235,249
88568,3485,4.234507897934386,138,-11,265,276
88758,51,1.186046511627907,4,-18,-13,5
88781,888,3.041095890410959,52,-13,164,177
88910,576,2.028169014084507,60,-18,228,246
89051,1163,2.4639830508474576,112,-12,236,248
89092,183,1.83,23,1,234,233
89188,1715,2.507309941520468,103,-9,234,243
89545,553,2.835897435897436,32,-12,269,281
89727,406,2.3068181818181817,42,-18,202,220
89778,141,2.073529411764706,12,-2,201,203
89850,1177,3.033505154639175,62,-6,244,250
89895,5547,4.057790782735918,198,-18,227,245
89904,609,1.7964601769911503,91,-18,240,258
90243,1078,3.358255451713396,57,-10,261,271
90361,183,2.056179775280899,19,-9,213,222
90537,810,1.5976331360946745,58,-16,237,253
90651,195,1.875,12,-4,12,16
90836,205,1.8981481481481481,31,-16,197,213
90901,2126,4.18503937007874,91,-15,235,250
90979,168,1.8461538461538463,31,-7,145,152
91040,376,3.3873873873873874,32,-18,230,248
91164,21,2.3333333333333335,2,-9,151,160
91265,1494,3.0120967741935485,125,-8,259,267
91322,1599,4.356948228882834,64,-5,240,245
91354,103,1.7166666666666666,13,-18,144,162
91470,1506,2.353125,126,-18,249,267
91629,1378,4.374603174603174,35,-18,57,75
91801,1290,3.6033519553072626,47,-18,79,97
92103,114,2.326530612244898,13,-12,30,42
92274,447,2.4696132596685083,26,-1,131,132
92312,39,1.8571428571428572,6,-18,52,70
92341,957,3.5444444444444443,54,-7,102,109
92391,229,2.201923076923077,23,-16,147,163
92775,9850,5.546171171171171,221,-16,238,254
92832,1067,2.7429305912596402,100,-8,240,248
92947,1350,2.7327935222672064,129,-9,240,249
92993,974,3.9274193548387095,49,-9,226,235
94484,1710,5.777027027027027,78,2,240,238
94616,199,1.99,29,-7,193,200
94749,1609,3.4307036247334755,95,-3,248,251
94923,444,2.288659793814433,33,-16,136,152
94961,1240,2.973621103117506,93,-24,265,289
94964,199,2.2873563218390807,13,-13,79,92
94978,1158,4.304832713754647,46,-18,109,127
95356,281,1.8609271523178808,47,-6,203,209
95746,673,4.103658536585366,27,1,267,266
95755,381,3.0,43,-19,244,263
95906,1655,3.710762331838565,73,-18,234,252
96117,539,3.9057971014492754,31,6,228,222
96291,103,2.2888888888888888,4,8,26,18
96423,589,3.6134969325153374,43,-7,241,248
96475,207,2.225806451612903,27,-9,166,175
96538,182,2.716417910447761,12,30,136,106
96592,770,2.81021897810219,46,-13,226,239
96729,2358,4.058519793459553,106,-17,238,255
96864,96,1.6271186440677967,10,-15,68,83
96873,361,2.84251968503937,22,-11,120,131
96874,272,2.0148148148148146,32,-19,94,113
96945,9,2.25,2,-10,-4,6
97006,189,2.625,17,-2,232,234
97154,984,2.946107784431138,37,1,228,227
97486,13,1.8571428571428572,4,-13,14,27
97567,471,3.2708333333333335,30,-9,240,249
97865,91,1.9782608695652173,13,-7,111,118
97939,98,2.0851063829787235,11,-12,52,64
98094,2709,7.018134715025907,91,-10,264,274
98256,355,2.591240875912409,21,-17,52,69
98268,770,3.0555555555555554,62,-4,242,246
98313,145,2.101449275362319,10,16,222,206
98452,35,2.0588235294117645,5,14,44,30
98720,439,2.7961783439490446,34,7,205,198
98842,368,3.956989247311828,14,18,237,219
99075,1369,1.9783236994219653,96,-21,259,280
99088,340,3.090909090909091,17,-9,131,140
99151,333,4.625,11,3,33,30
99609,139,2.673076923076923,11,-11,26,37
99670,1722,3.6873661670235545,70,-18,226,244
99799,553,2.247967479674797,52,-9,219,228
99993,3537,3.723157894736842,146,-18,237,255
100064,6331,3.8792892156862746,195,-14,266,280
100282,42,2.625,5,9,39,30
100561,950,2.03862660944206,112,-25,242,267
100621,59,2.8095238095238093,7,-11,25,36
100788,4296,3.4095238095238094,184,-18,266,284
100893,744,3.0617283950617282,52,-9,250,259
101116,1769,2.6722054380664653,126,-24,269,293
101217,717,1.8151898734177214,51,-18,180,198
101279,112,2.1538461538461537,8,-14,37,51
101306,861,2.9792387543252596,36,-18,109,127
101420,4762,4.240427426536064,136,-11,243,254
101634,353,3.4607843137254903,15,-12,85,97
101781,4063,4.450164293537788,144,-10,268,278
102028,4073,3.4429416737109046,182,-18,267,285
102067,67,2.161290322580645,9,-9,25,34
102209,472,2.579234972677596,27,-18,103,121
102221,1025,2.971014492753623,57,-13,239,252
102343,3157,3.6454965357967666,146,-18,265,283
102806,1944,2.4891165172855314,177,-10,267,277
102849,1,1.0,1,-4,-4,0
102850,1749,2.8028846153846154,89,-12,250,262
102854,4227,3.239080459770115,205,-18,260,278
102952,1150,3.6741214057507987,58,-3,246,249
103496,1180,2.9353233830845773,59,13,236,223
103535,381,2.411392405063291,30,-7,231,238
103800,170,1.6346153846153846,32,-1,261,262
103891,69,3.2857142857142856,6,-25,-13,12
103904,1566,2.921641791044776,97,-16,240,256
103998,49,4.454545454545454,2,-9,1,10
104054,1451,3.374418604651163,95,-8,237,245
104213,1962,3.424083769633508,98,-3,252,255
104316,890,2.0319634703196345,53,-12,197,209
104476,4371,4.40625,161,-10,258,268
104480,203,3.0757575757575757,18,2,214,212
104643,1488,2.8505747126436782,104,-16,261,277
104772,1065,2.377232142857143,76,-24,192,216
105125,545,3.132183908045977,31,-17,47,64
105168,1022,3.2756410256410255,48,-10,201,211
105413,963,2.4441624365482233,68,-17,240,257
105523,1691,2.573820395738204,170,-18,257,275
105527,993,2.5792207792207793,86,-10,249,259
105629,5565,3.86726893676164,183,-18,267,285
105851,385,2.0588235294117645,39,14,247,233
105883,4006,3.8007590132827325,168,-10,265,275
105939,2562,3.9537037037037037,99,-5,240,245
106095,1235,3.559077809798271,45,-2,236,238
106247,465,3.206896551724138,33,12,150,138
106553,548,2.2096774193548385,64,-25,252,277
106577,733,3.316742081447964,47,-10,253,263
106588,981,2.6021220159151195,76,-10,247,257
106690,188,4.2727272727272725,3,9,15,6
106793,404,2.3488372093023258,27,-9,199,208
107028,612,2.095890410958904,43,-18,234,252
107084,1389,3.275943396226415,70,-4,240,244
107162,4042,4.456449834619625,112,-18,232,250
107339,4414,3.492088607594937,185,-17,268,285
107455,995,3.2305194805194803,60,-11,222,233
107489,3717,3.064303380049464,184,-24,265,289
107713,111,2.0943396226415096,15,-2,145,147
107883,605,3.644578313253012,29,-15,62,77
108118,396,3.09375,23,3,239,236
108207,2989,4.012080536912752,129,-18,229,247
108281,3741,4.411556603773585,153,-18,244,262
108330,2657,3.605156037991859,118,-18,239,257
108377,2399,3.364656381486676,150,-9,240,249
108497,2189,3.078762306610408,133,-18,269,287
108565,202,2.4047619047619047,9,-14,23,37
108589,411,2.3620689655172415,39,-9,226,235
108760,844,3.5313807531380754,51,-10,243,253
108789,102,2.3181818181818183,10,-12,27,39
108799,472,2.5106382978723403,42,-1,231,232
108822,6995,4.191132414619533,158,-18,237,255
108834,280,2.857142857142857,27,-18,226,244
108859,1990,3.2676518883415433,127,-9,262,271
108872,1377,3.6047120418848166,83,-24,264,288
108949,550,2.522935779816514,50,-15,169,184
109155,3019,3.430681818181818,135,-24,261,285
109372,1423,2.940082644628099,123,-10,264,274
109441,678,2.778688524590164,45,-9,251,260
109577,3048,4.417391304347826,85,-18,241,259
109772,199,2.970149253731343,13,61,220,159
109782,154,2.026315789473684,22,-3,160,163
109938,396,1.8,49,1,223,222
110085,1348,3.7444444444444445,50,-10,222,232
110116,3795,4.501779359430605,117,-18,239,257
110175,998,2.9096209912536444,70,-10,242,252
110200,157,1.9625,21,-15,219,234
110461,12,3.0,1,-11,-11,0
110524,876,2.023094688221709,84,-22,246,268
110529,2970,3.862158647594278,107,-13,120,133
110640,1718,2.88255033557047,124,-19,239,258
110789,1066,4.180392156862745,36,-8,235,243
110820,1106,3.2529411764705882,66,-18,93,111
110881,4819,3.5643491124260356,160,-11,261,272
110911,510,3.617021276595745,33,1,202,201
111113,367,2.0054644808743167,43,-16,188,204
111360,697,2.454225352112676,72,-8,233,241
111512,439,3.06993006993007,21,-16,34,50
111548,542,2.837696335078534,41,-10,135,145
111678,4,1.3333333333333333,1,2,2,0
111717,2320,3.9388794567062817,136,-10,249,259
111775,3066,3.4880546075085324,115,-18,236,254
111926,1553,2.5926544240400666,116,-25,252,277
111942,1853,2.573611111111111,107,1,263,262
111959,431,2.268421052631579,40,-16,108,124
