id_student,avg_score,max_score,min_score,total_assessments,avg_days_submitted,banked_count
37298,84.18181818181819,93.0,74.0,11,138.1818181818182,0
37622,81.9,100.0,62.0,10,128.7,0
37652,98.0,100.0,94.0,5,139.8,0
38053,68.0,79.0,50.0,5,116.2,0
38234,77.71428571428571,100.0,64.0,7,102.57142857142857,0
38711,38.75,54.0,1.0,4,90.5,0
38941,77.0,77.0,77.0,1,13.0,0
39208,77.4,100.0,69.0,5,106.0,0
39411,70.0,70.0,70.0,1,25.0,0
39427,84.0,84.0,84.0,1,25.0,0
39655,83.0909090909091,100.0,60.0,11,113.63636363636364,0
39660,64.5,85.0,11.0,4,63.75,0
39882,78.45454545454545,90.0,65.0,11,104.27272727272727,0
40184,93.71428571428571,100.0,85.0,7,113.0,0
40419,71.55555555555556,86.0,53.0,9,105.33333333333333,0
40563,71.14285714285714,97.0,49.0,7,127.85714285714286,0
40604,68.28571428571429,90.0,37.0,7,116.71428571428571,0
40857,86.0,86.0,86.0,1,24.0,0
40878,90.58333333333333,97.0,76.0,12,122.0,0
41060,82.81818181818181,97.0,56.0,11,92.9090909090909,0
41414,80.0,100.0,40.0,9,146.22222222222223,0
41547,61.6,100.0,25.0,5,104.8,0
42552,71.0,84.0,57.0,12,126.08333333333333,0
42616,80.25,89.0,67.0,12,150.25,0
42638,72.38461538461539,86.0,50.0,13,117.3076923076923,0
42668,78.66666666666667,94.0,67.0,12,146.5,0
42746,94.57142857142857,100.0,89.0,21,119.57142857142857,0
42818,39.0,39.0,39.0,1,25.0,0
43273,76.0,90.0,59.0,12,159.5,0
43284,71.44444444444444,89.0,45.0,9,80.77777777777777,0
43430,86.58333333333333,100.0,74.0,12,97.41666666666667,0
43564,92.75,98.0,85.0,4,95.25,0
43958,83.63636363636364,98.0,7.0,11,26.272727272727273,5
45423,63.333333333333336,75.0,40.0,12,135.83333333333334,0
45462,68.0,75.0,62.0,5,114.6,0
45642,72.4,73.0,72.0,5,116.8,0
45664,51.5625,69.0,0.0,16,108.75,0
46016,65.0,65.0,65.0,3,41.0,0
46148,84.75,94.0,76.0,12,147.16666666666666,0
46605,93.55555555555556,98.0,88.0,9,127.0,0
46705,83.71428571428571,100.0,35.0,7,117.28571428571429,0
46753,58.5,80.0,24.0,6,125.0,0
46812,55.0,55.0,55.0,1,20.0,0
46844,64.8,73.0,56.0,5,114.0,0
47061,70.5,91.0,58.0,4,100.0,0
47063,49.25,87.0,29.0,4,74.25,0
47855,45.90909090909091,80.0,20.0,11,-1.0,11
47861,53.333333333333336,72.0,20.0,12,142.16666666666666,0
47891,65.66666666666667,100.0,40.0,3,61.0,0
47924,41.0,44.0,38.0,2,37.0,0
48040,77.27272727272727,100.0,56.0,11,121.72727272727273,0
48152,52.166666666666664,62.0,43.0,6,130.16666666666666,0
48503,76.8,100.0,60.0,10,119.6,0
48635,86.46153846153847,98.0,69.0,13,99.6923076923077,0
49119,84.9090909090909,100.0,50.0,11,112.72727272727273,0
49123,85.11111111111111,100.0,69.0,9,141.77777777777777,0
50069,84.83333333333333,100.0,67.0,6,71.16666666666667,0
50263,76.64285714285714,100.0,20.0,14,84.35714285714286,0
50476,87.66666666666667,95.0,84.0,6,103.5,0
50487,81.08333333333333,97.0,70.0,12,106.66666666666667,0
50610,87.33333333333333,90.0,84.0,3,-1.0,3
50993,46.22222222222222,80.0,5.0,9,108.22222222222223,0
51030,80.33333333333333,87.0,72.0,6,108.66666666666667,0
51033,85.42857142857143,100.0,53.0,7,113.28571428571429,0
51153,61.714285714285715,75.0,23.0,7,116.0,0
51163,70.85714285714286,87.0,57.0,7,128.28571428571428,0
51301,93.0,93.0,93.0,1,17.0,0
51485,91.58333333333333,99.0,82.0,12,171.83333333333334,0
51576,87.0625,99.0,50.0,16,97.6875,0
51955,49.714285714285715,70.0,22.0,7,116.85714285714286,0
52014,37.333333333333336,81.0,0.0,12,107.91666666666667,0
52130,71.4,75.0,68.0,5,115.6,0
52275,38.0,38.0,38.0,1,30.0,0
52426,73.0,100.0,46.0,5,52.6,0
52702,86.875,100.0,70.0,8,167.625,0
52765,63.0,70.0,52.0,5,115.4,0
52797,87.54545454545455,100.0,70.0,11,122.27272727272727,0
52899,81.8,100.0,63.0,10,85.3,0
53025,78.0,81.0,71.0,5,109.6,0
53136,74.58333333333333,89.0,59.0,12,110.83333333333333,0
53166,70.66666666666667,84.0,40.0,12,134.5,0
53197,0.0,0.0,0.0,1,89.0,0
53300,90.88888888888889,100.0,78.0,9,119.55555555555556,0
53488,82.07142857142857,100.0,51.0,14,119.07142857142857,0
53632,86.55555555555556,98.0,75.0,9,29.555555555555557,5
53709,79.0,90.0,65.0,19,85.10526315789474,7
54062,75.28571428571429,99.0,50.0,7,72.28571428571429,0
54391,44.5,50.0,39.0,2,44.5,0
54810,71.88888888888889,90.0,44.0,9,87.0,3
54867,74.0,74.0,74.0,1,23.0,0
54882,45.8,82.0,5.0,5,92.8,0
55013,53.25,72.0,38.0,4,73.75,0
55026,72.22222222222223,100.0,59.0,9,115.22222222222223,0
55104,71.0,78.0,64.0,5,114.0,0
55419,78.0,86.0,70.0,2,18.0,0
55450,74.25,88.0,63.0,4,72.5,0
55968,67.33333333333333,80.0,40.0,6,64.83333333333333,0
56637,86.75,96.0,76.0,12,123.58333333333333,0
56667,67.36363636363636,81.0,50.0,11,183.9090909090909,0
56789,76.45454545454545,100.0,41.0,11,120.45454545454545,0
57079,74.4,100.0,40.0,10,112.5,0
57227,79.0,87.0,67.0,6,115.83333333333333,0
57285,54.2,78.0,1.0,5,106.6,0
57340,70.2,81.0,60.0,5,133.4,0
57506,74.0,80.0,68.0,5,113.4,0
57818,91.57142857142857,100.0,80.0,7,125.0,0
57844,82.08333333333333,91.0,52.0,12,168.58333333333334,0
58071,76.0,87.0,61.0,5,118.8,0
58089,87.5,100.0,75.0,2,39.0,0
58316,73.4,78.0,64.0,5,116.8,0
58549,92.83333333333333,100.0,77.0,12,107.25,0
58617,40.666666666666664,58.0,18.0,6,105.16666666666667,0
58640,67.5,88.0,43.0,12,162.25,0
58653,55.2,71.0,1.0,5,110.2,0
58731,56.285714285714285,66.0,40.0,7,118.71428571428571,0
58873,73.2,78.0,68.0,5,114.6,0
58884,89.83333333333333,96.0,80.0,12,124.75,0
59185,78.6,89.0,67.0,5,113.8,0
59272,66.25,72.0,63.0,4,125.25,0
59275,52.5,67.0,40.0,4,72.25,0
59370,64.28571428571429,82.0,44.0,7,128.42857142857142,0
59541,40.0,40.0,40.0,1,20.0,0
59725,82.63636363636364,100.0,60.0,11,106.72727272727273,0
60135,57.75,86.0,19.0,12,111.33333333333333,0
60162,74.22222222222223,100.0,59.0,9,171.44444444444446,0
60405,88.66666666666667,100.0,60.0,9,152.55555555555554,0
60416,83.18181818181819,100.0,50.0,11,108.27272727272727,0
60519,72.0,79.0,68.0,4,34.5,0
60809,86.15384615384616,100.0,46.0,13,123.15384615384616,0
60830,82.1,100.0,60.0,10,98.7,0
61227,68.25,78.0,56.0,4,114.0,0
61236,56.0,56.0,56.0,1,21.0,0
61352,100.0,100.0,100.0,1,-3.0,0
61911,83.33333333333333,89.0,77.0,3,81.0,0
62034,79.33333333333333,91.0,63.0,3,76.33333333333333,0
62155,76.0,85.0,70.0,5,111.6,0
62278,62.166666666666664,75.0,50.0,6,85.5,0
62487,71.6,78.0,62.0,5,118.4,0
62631,80.42857142857143,100.0,64.0,7,82.14285714285714,0
62975,86.0,100.0,65.0,5,113.4,0
63015,75.14285714285714,95.0,42.0,7,115.57142857142857,0
63044,64.0,80.0,50.0,5,66.8,0
63112,70.85714285714286,96.0,42.0,7,78.14285714285714,0
63165,51.4,57.0,47.0,5,120.2,0
63295,63.09090909090909,88.0,26.0,11,158.45454545454547,0
63371,78.88888888888889,94.0,46.0,9,134.22222222222223,0
63400,71.6,83.0,42.0,5,114.2,0
63467,62.6,84.0,1.0,5,105.2,0
63566,61.714285714285715,71.0,36.0,7,127.28571428571429,0
63721,84.0,100.0,40.0,10,100.5,0
63827,78.33333333333333,90.0,60.0,3,41.0,0
63856,52.142857142857146,75.0,27.0,7,131.0,0
63949,86.375,100.0,69.0,8,135.25,0
64275,75.1,100.0,0.0,10,106.2,0
64296,86.5,99.0,60.0,4,38.25,0
64388,64.0,78.0,42.0,11,105.81818181818181,0
64427,88.25,97.0,74.0,12,149.58333333333334,0
64450,45.714285714285715,75.0,12.0,7,126.71428571428571,0
64767,70.0,79.0,61.0,4,68.5,0
64901,71.55555555555556,100.0,20.0,9,164.66666666666666,0
65002,67.0,68.0,66.0,4,16.5,2
65656,76.16666666666667,92.0,24.0,12,152.41666666666666,0
66047,43.0,43.0,43.0,1,16.0,0
66254,72.16666666666667,90.0,48.0,6,85.5,0
66451,79.0,91.0,56.0,12,172.33333333333334,0
66577,83.0,85.0,79.0,3,-1.0,3
66579,68.0,94.0,21.0,5,54.6,0
66713,76.5,87.0,68.0,4,95.75,0
66892,66.0,66.0,66.0,1,32.0,0
67182,77.22222222222223,100.0,60.0,9,170.77777777777777,0
67471,67.0,81.0,47.0,7,125.57142857142857,0
67505,64.25,91.0,38.0,4,73.25,0
67539,66.0,78.0,52.0,4,99.0,0
67602,48.0,69.0,19.0,14,120.0,0
67685,81.0,87.0,75.0,4,96.5,0
67781,75.28571428571429,90.0,65.0,7,120.28571428571429,0
67785,71.58333333333333,92.0,33.0,12,107.66666666666667,0
67986,78.5,85.0,72.0,2,17.0,0
68011,81.0,86.0,76.0,2,38.0,0
68107,88.0,95.0,80.0,12,140.25,0
68208,56.25,74.0,43.0,12,141.0,0
68376,69.83333333333333,90.0,42.0,6,114.16666666666667,0
68417,76.42857142857143,90.0,58.0,7,114.85714285714286,0
68556,57.0,75.0,20.0,4,72.25,0
69346,87.66666666666667,97.0,76.0,3,19.0,0
69439,67.66666666666667,75.0,56.0,3,28.666666666666668,0
69491,66.0,89.0,29.0,14,118.85714285714286,0
69494,12.4,62.0,0.0,5,60.4,0
69703,74.55555555555556,89.0,41.0,9,128.0,0
70011,80.2,88.0,74.0,5,114.0,0
70214,45.0,58.0,33.0,5,81.0,0
70381,75.33333333333333,92.0,40.0,9,128.44444444444446,0
70464,55.6,61.0,38.0,5,109.6,0
70495,88.23809523809524,97.0,78.0,21,121.42857142857143,0
70537,80.75,87.0,76.0,4,91.0,0
70569,55.8,76.0,1.0,5,101.8,0
70608,84.18181818181819,100.0,50.0,11,114.27272727272727,0
70771,50.0,50.0,50.0,1,20.0,0
70827,62.0,62.0,62.0,1,38.0,0
71159,64.91666666666667,79.0,44.0,12,185.58333333333334,0
71209,56.285714285714285,79.0,44.0,7,125.85714285714286,0
71252,78.33333333333333,92.0,63.0,12,176.25,0
71361,80.4,86.0,75.0,5,113.8,0
71504,83.8,100.0,72.0,5,103.0,0
71578,74.9090909090909,94.0,63.0,11,141.8181818181818,0
71676,60.0,74.0,47.0,7,115.71428571428571,0
71723,56.625,80.0,12.0,8,68.375,0
72114,80.58333333333333,100.0,56.0,12,117.58333333333333,0
72400,84.81818181818181,100.0,65.0,11,109.72727272727273,0
72609,51.0,84.0,24.0,9,136.0,0
72693,78.08333333333333,93.0,67.0,12,136.83333333333334,0
72864,79.66666666666667,96.0,58.0,9,124.66666666666667,0
73019,45.0,90.0,6.0,7,116.57142857142857,0
73489,77.72727272727273,100.0,60.0,11,121.0,0
73584,28.0,55.0,1.0,2,28.5,0
73664,25.0,40.0,10.0,2,70.0,0
73874,84.33333333333333,100.0,68.0,3,59.666666666666664,0
74113,61.666666666666664,94.0,24.0,6,64.33333333333333,0
74165,87.58333333333333,98.0,75.0,12,117.25,0
74290,10.0,10.0,10.0,2,9.5,1
74372,48.5,67.0,18.0,4,90.5,0
74502,63.0,74.0,55.0,6,108.83333333333333,0
74521,77.36363636363636,95.0,52.0,11,156.72727272727272,0
74524,86.0,86.0,86.0,1,39.0,0
74585,88.81818181818181,100.0,60.0,11,119.72727272727273,0
74695,91.8,100.0,80.0,10,106.1,0
74734,83.0,100.0,68.0,10,118.8,0
75091,66.0,67.0,65.0,5,113.6,0
75107,92.08333333333333,99.0,81.0,12,138.25,0
75255,81.8,88.0,76.0,5,116.6,0
75399,72.9,100.0,50.0,10,113.3,0
75427,66.42857142857143,80.0,47.0,7,115.71428571428571,0
75454,71.66666666666667,95.0,26.0,9,128.22222222222223,0
75728,68.5,70.0,67.0,2,44.5,0
76081,69.2,83.0,58.0,10,71.6,4
76536,66.25,77.0,58.0,4,-1.0,4
76579,60.75,69.0,48.0,4,90.75,1
76949,81.77777777777777,94.0,28.0,9,135.55555555555554,0
77241,71.0,81.0,61.0,2,39.0,0
77367,70.4,76.0,64.0,5,115.0,0
77692,87.83333333333333,98.0,71.0,12,170.83333333333334,0
77744,83.08333333333333,87.0,74.0,12,115.25,0
77746,74.0,74.0,74.0,1,47.0,0
77763,89.5,100.0,69.0,14,119.71428571428571,0
77845,68.33333333333333,78.0,50.0,6,72.16666666666667,0
77995,73.36363636363636,82.0,64.0,11,160.0,0
77998,75.66666666666667,93.0,50.0,18,159.94444444444446,7
78170,69.14285714285714,91.0,42.0,7,127.57142857142857,0
78255,78.75,100.0,63.0,4,27.0,1
78645,73.25,80.0,59.0,4,55.75,0
79261,85.0,95.0,76.0,12,163.75,0
79403,60.666666666666664,72.0,50.0,3,67.66666666666667,0
79461,33.714285714285715,56.0,11.0,7,118.0,0
79610,76.0,96.0,55.0,12,156.0,0
79683,57.0,66.0,48.0,2,38.0,0
80329,75.9375,100.0,19.0,16,114.0625,0
80358,62.333333333333336,71.0,46.0,3,117.66666666666667,0
80438,86.9090909090909,100.0,22.0,11,108.45454545454545,0
80448,73.6,100.0,60.0,5,146.4,0
80491,51.8,86.0,18.0,5,94.8,0
80717,93.0,100.0,77.0,11,119.18181818181819,0
80745,80.625,92.0,60.0,8,127.125,0
80775,83.0,93.0,65.0,7,115.57142857142857,0
80868,75.16666666666667,97.0,44.0,12,132.75,0
80886,92.33333333333333,98.0,87.0,3,20.0,0
81351,66.85714285714286,94.0,0.0,14,120.35714285714286,0
81536,68.0,72.0,64.0,2,31.0,0
81754,84.0,100.0,68.0,2,82.0,0
82088,80.33333333333333,87.0,71.0,3,56.333333333333336,0
82201,65.0,68.0,62.0,4,22.5,2
82341,78.57142857142857,100.0,60.0,7,146.57142857142858,0
82535,68.45454545454545,100.0,54.0,11,110.18181818181819,0
82556,78.25,95.0,54.0,4,26.25,0
82575,93.66666666666667,100.0,80.0,9,128.0,0
82741,74.9090909090909,100.0,33.0,11,113.36363636363636,0
82817,79.88888888888889,94.0,54.0,9,162.55555555555554,0
83219,73.07692307692308,93.0,30.0,13,116.92307692307692,0
83254,73.0,100.0,40.0,11,116.45454545454545,0
83453,30.0,30.0,30.0,1,20.0,0
83553,61.666666666666664,95.0,40.0,3,42.333333333333336,0
83588,70.75,91.0,35.0,4,-1.0,4
83603,78.08333333333333,91.0,50.0,12,166.5,0
84051,78.0,96.0,67.0,3,79.66666666666667,0
84245,87.1,100.0,60.0,10,94.5,0
84299,75.47058823529412,98.0,29.0,17,135.7058823529412,0
84541,34.0,67.0,1.0,2,36.5,0
84576,63.142857142857146,97.0,0.0,7,115.28571428571429,0
84604,90.66666666666667,97.0,84.0,12,105.5,0
84605,85.375,90.0,76.0,8,65.25,3
84664,89.2,100.0,69.0,10,106.4,0
84812,89.72727272727273,100.0,80.0,11,120.9090909090909,0
85092,58.0,68.0,48.0,4,129.5,0
85144,77.6,85.0,68.0,5,114.0,0
85241,48.0,48.0,48.0,1,22.0,0
85302,71.2,76.0,67.0,5,114.6,0
85325,59.0,59.0,59.0,1,28.0,0
85874,74.0,80.0,68.0,4,51.0,0
86047,50.785714285714285,75.0,0.0,14,97.28571428571429,0
86291,69.58333333333333,100.0,0.0,12,113.75,1
86538,68.66666666666667,79.0,56.0,6,77.0,0
86669,84.16666666666667,94.0,68.0,12,106.58333333333333,0
87107,68.42857142857143,83.0,40.0,7,83.0,0
87152,82.75,92.0,75.0,12,131.83333333333334,0
87264,93.75,100.0,86.0,12,133.66666666666666,0
87322,76.72727272727273,96.0,65.0,11,180.54545454545453,0
87431,50.0,58.0,42.0,3,84.33333333333333,0
87732,78.6,100.0,60.0,10,114.1,0
87929,85.0,100.0,50.0,7,130.42857142857142,0
88340,76.0,100.0,61.0,4,45.75,0
88439,86.14285714285714,91.0,73.0,7,116.85714285714286,0
88490,92.14285714285714,98.0,72.0,7,109.0,0
88568,89.75,93.0,87.0,4,93.75,0
88781,55.25,70.0,41.0,4,73.0,0
88910,52.42857142857143,76.0,20.0,7,126.0,0
89051,81.57142857142857,96.0,65.0,14,118.85714285714286,0
89092,62.54545454545455,100.0,20.0,11,105.81818181818181,0
89188,64.0,77.0,48.0,7,126.0,0
89545,84.0,92.0,77.0,4,99.25,0
89727,56.2,64.0,50.0,5,90.0,0
89778,92.27272727272727,100.0,75.0,11,108.63636363636364,0
89850,66.4,90.0,1.0,5,105.8,0
89895,79.5,93.0,58.0,12,129.08333333333334,0
89904,81.0,91.0,52.0,7,118.28571428571429,0
90243,64.27272727272727,80.0,51.0,11,121.0,0
90361,76.7,100.0,58.0,10,108.0,0
90537,66.14285714285714,76.0,52.0,7,122.57142857142857,0
90901,89.33333333333333,96.0,78.0,12,150.58333333333334,0
90979,51.75,73.0,12.0,4,77.25,0
91040,42.5,67.0,15.0,4,86.5,0
91265,70.8,75.0,57.0,5,119.4,0
91322,82.2,100.0,69.0,10,119.1,0
91354,75.0,77.0,73.0,2,-1.0,2
91470,66.42857142857143,85.0,27.0,7,114.0,0
91629,76.66666666666667,92.0,68.0,3,40.666666666666664,0
91801,69.0,76.0,62.0,2,16.5,0
92274,66.4,100.0,40.0,5,62.2,0
92341,81.0,100.0,64.0,5,52.0,0
92391,50.8,69.0,28.0,5,-1.0,5
92775,38.45454545454545,78.0,3.0,11,93.18181818181819,0
92832,76.1,100.0,61.0,10,106.7,0
92947,81.5,100.0,40.0,10,107.8,0
92993,76.7,100.0,60.0,10,115.1,0
94484,85.6,100.0,74.0,5,133.4,0
94616,77.44444444444444,100.0,40.0,9,101.11111111111111,0
94749,64.0,84.0,45.0,5,50.8,0
94923,61.0,78.0,34.0,8,68.875,0
94961,65.33333333333333,74.0,55.0,6,94.33333333333333,1
94964,39.666666666666664,68.0,20.0,3,44.0,0
94978,69.66666666666667,78.0,64.0,3,40.666666666666664,0
95356,47.583333333333336,69.0,20.0,12,93.75,0
95746,83.18181818181819,95.0,72.0,11,156.54545454545453,2
95755,45.0,58.0,32.0,2,46.0,0
95906,93.22222222222223,100.0,82.0,9,128.22222222222223,0
96117,76.25,100.0,55.0,8,163.125,0
96423,82.77777777777777,100.0,60.0,9,136.11111111111111,0
96475,84.85714285714286,100.0,73.0,7,83.71428571428571,0
96538,36.0,55.0,13.0,3,80.0,0
96592,81.57142857142857,93.0,56.0,14,118.85714285714286,0
96729,85.66666666666667,99.0,64.0,12,124.25,0
96864,0.0,0.0,0.0,1,69.0,0
96873,92.0,92.0,92.0,1,32.0,0
96874,76.33333333333333,92.0,67.0,3,24.333333333333332,0
97006,89.77777777777777,100.0,73.0,9,108.44444444444444,0
97154,90.7,100.0,75.0,10,112.0,0
97567,91.9090909090909,100.0,82.0,11,121.72727272727273,0
97865,77.0,100.0,66.0,5,53.2,0
97939,69.0,69.0,69.0,1,25.0,0
98094,60.6,62.0,59.0,5,106.4,0
98256,68.0,94.0,42.0,2,38.5,0
98268,73.45454545454545,100.0,40.0,11,120.9090909090909,0
98313,80.72727272727273,100.0,73.0,11,114.0909090909091,0
98452,100.0,100.0,100.0,1,16.0,0
98720,72.27272727272727,85.0,20.0,11,123.18181818181819,0
98842,59.4,100.0,45.0,5,106.2,0
99075,51.833333333333336,75.0,33.0,6,104.33333333333333,0
99088,29.666666666666668,45.0,1.0,3,56.666666666666664,0
99151,46.0,46.0,46.0,1,25.0,0
99670,91.75,100.0,83.0,8,70.0,0
99799,75.9,100.0,60.0,10,103.9,0
99993,76.18181818181819,96.0,55.0,11,117.45454545454545,0
100064,89.33333333333333,94.0,82.0,12,153.25,0
100282,78.0,78.0,78.0,1,19.0,0
100561,67.14285714285714,87.0,31.0,7,116.71428571428571,0
100788,89.3529411764706,100.0,61.0,17,126.23529411764706,0
100893,68.4,74.0,63.0,5,114.4,0
101116,82.6,90.0,75.0,5,114.8,0
101217,41.0,68.0,14.0,2,25.0,0
101279,55.0,55.0,55.0,1,34.0,0
101306,49.0,70.0,28.0,2,56.0,0
101420,90.33333333333333,98.0,77.0,12,107.16666666666667,0
101634,84.0,92.0,76.0,2,37.5,0
101781,72.6,84.0,64.0,5,112.4,0
102028,90.25,99.0,80.0,12,107.5,0
102067,100.0,100.0,100.0,1,19.0,0
102209,54.333333333333336,56.0,51.0,3,40.666666666666664,0
102221,75.42857142857143,90.0,49.0,7,118.57142857142857,0
102343,79.25,93.0,50.0,12,108.75,0
102806,78.0,86.0,60.0,5,114.2,0
102850,78.85714285714286,97.0,38.0,7,127.14285714285714,0
102854,89.41666666666667,100.0,81.0,12,126.16666666666667,0
102952,76.6,83.0,70.0,5,113.8,0
103496,63.2,100.0,48.0,5,105.0,0
103535,85.72727272727273,100.0,71.0,11,108.54545454545455,0
103800,58.142857142857146,92.0,26.0,7,130.0,0
103904,81.78571428571429,94.0,64.0,14,112.92857142857143,0
104054,94.63636363636364,100.0,85.0,11,113.9090909090909,0
104213,84.75,100.0,66.0,12,124.66666666666667,0
104316,80.5,98.0,47.0,6,70.66666666666667,0
104476,79.6,85.0,77.0,5,118.0,0
104480,88.0,98.0,59.0,7,132.0,0
104643,76.28571428571429,91.0,37.0,7,129.85714285714286,0
104772,65.14285714285714,79.0,56.0,7,47.42857142857143,3
105125,62.0,62.0,62.0,1,25.0,0
105168,86.0,89.0,78.0,5,68.8,0
105413,66.88888888888889,96.0,32.0,9,134.0,0
105523,51.38461538461539,81.0,7.0,13,134.0,0
105527,83.18181818181819,100.0,77.0,11,122.27272727272727,0
105629,87.33333333333333,94.0,80.0,12,110.16666666666667,0
105851,90.2,100.0,80.0,10,143.1,0
105883,76.72727272727273,100.0,59.0,11,119.9090909090909,0
105939,78.66666666666667,90.0,62.0,12,156.0,0
106095,59.6,89.0,1.0,5,103.2,0
106247,60.0,67.0,47.0,3,70.33333333333333,0
106553,74.57142857142857,93.0,44.0,7,118.28571428571429,0
106577,53.4,65.0,38.0,5,115.4,0
106588,90.18181818181819,100.0,78.0,11,120.72727272727273,0
106793,57.8,100.0,40.0,5,106.8,0
107028,62.625,90.0,42.0,8,51.625,0
