code_module,code_presentation,id_student,gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region
AAA,2013J,111717,1,3,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,113295,0,1,65.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,114017,1,4,15.0,1,0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,114999,0,3,65.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,116541,0,3,5.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,116692,0,2,75.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,118983,0,3,35.0,0,0,120,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,123044,0,2,45.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,127582,1,2,45.0,0,0,180,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,129955,0,2,55.0,0,0,60,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,132976,1,1,85.0,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,134143,1,2,95.0,1,0,60,0,2,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,135335,1,1,25.0,0,0,180,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,135400,1,1,95.0,1,0,60,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,137873,0,2,45.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,141355,1,2,35.0,0,0,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,141377,0,2,95.0,0,0,210,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,142326,1,2,55.0,1,0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,144801,1,3,85.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,145130,0,3,65.0,0,0,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,146188,1,2,25.0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,147756,0,1,65.0,0,0,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,147793,1,1,85.0,0,0,90,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,148993,1,2,35.0,1,0,60,1,-1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,151358,1,2,85.0,0,0,150,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,155550,0,2,5.0,1,0,210,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,155854,1,2,25.0,1,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,155984,1,1,75.0,0,0,60,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,157568,1,2,95.0,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,159954,0,2,45.0,1,0,60,0,-1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,164259,0,2,75.0,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,167906,1,2,45.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,168936,1,1,15.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,172112,0,3,5.0,1,0,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,172797,1,2,5.0,1,0,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,174782,0,3,95.0,2,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,175392,0,3,15.0,1,0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,175932,0,3,75.0,1,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,175991,1,2,85.0,0,0,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,180753,0,2,35.0,0,0,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,181316,1,2,85.0,1,0,120,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,183096,1,2,65.0,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,183947,0,2,15.0,0,0,180,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,184271,0,3,85.0,1,0,170,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,185439,0,3,15.0,0,0,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,186149,0,3,35.0,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,187100,0,2,55.0,1,0,60,0,2,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,188278,0,2,75.0,1,0,120,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,189879,0,2,95.0,0,0,120,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,192183,1,1,95.0,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,195262,0,2,95.0,0,0,60,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,200860,0,1,55.0,1,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,202635,1,2,35.0,0,0,60,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,205350,0,3,85.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,205719,0,2,45.0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,227499,1,2,15.0,1,0,60,0,2,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,227517,0,3,5.0,0,0,180,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,228082,0,3,65.0,0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,228222,0,1,55.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,229179,0,2,25.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,229361,0,2,55.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,231554,0,2,45.0,0,0,210,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,235507,0,2,95.0,0,0,210,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,236284,0,4,95.0,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,238007,0,3,95.0,2,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,240712,0,3,85.0,0,0,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,240884,0,2,95.0,0,0,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,241649,0,3,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,241729,1,3,65.0,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,242793,0,3,25.0,1,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,246834,0,2,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,248270,0,1,25.0,0,0,90,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,255548,0,1,25.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,256815,0,3,15.0,0,0,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,258392,1,1,35.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,258894,1,1,75.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,260355,1,2,85.0,1,0,60,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,262011,0,2,25.0,1,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,262934,1,2,35.0,1,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,268073,0,2,15.0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,268733,0,2,35.0,0,0,180,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,271251,0,2,85.0,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,277880,1,2,65.0,0,0,60,0,-1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,279572,0,1,45.0,0,0,60,0,2,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,281022,1,2,35.0,0,0,150,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,281250,0,1,75.0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,281589,0,3,35.0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,282821,0,2,35.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,286488,0,2,95.0,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,287548,0,2,95.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,290201,0,2,25.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,290757,0,2,35.0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,291334,0,2,95.0,1,0,60,0,2,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,292923,1,2,95.0,1,0,180,0,-1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,293699,0,2,75.0,0,0,120,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,294570,0,3,95.0,2,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,294594,0,2,95.0,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,295741,0,2,45.0,1,0,210,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,296332,0,4,95.0,2,0,60,0,2,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,298696,1,3,85.0,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,300398,0,2,35.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,302302,1,2,45.0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,305152,0,2,75.0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,305386,0,2,75.0,0,0,120,1,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,305539,1,1,85.0,0,0,120,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,306107,0,2,55.0,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,306466,0,2,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,306897,1,2,15.0,0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,307061,1,3,15.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,307866,0,2,75.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,311917,0,2,65.0,2,0,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,312537,0,4,95.0,2,0,60,0,2,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,312782,0,2,95.0,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,318933,1,3,85.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,319047,1,2,55.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,321942,0,3,95.0,2,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,324002,0,3,45.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,324084,1,2,15.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,324282,0,2,95.0,0,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,331358,1,3,95.0,1,0,60,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,332789,1,2,65.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,333059,0,2,25.0,0,0,120,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,333323,0,3,85.0,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,334259,1,2,55.0,0,0,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,334333,1,2,5.0,0,0,210,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,335764,1,2,25.0,0,0,60,0,-1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,336207,0,2,95.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,339972,0,2,85.0,0,0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,341872,0,1,45.0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,342007,1,3,75.0,0,0,60,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,342514,0,1,55.0,2,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,342972,0,3,5.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,343446,0,3,75.0,1,0,120,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,344282,0,2,15.0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,345068,0,2,65.0,0,0,180,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,345357,0,2,35.0,0,0,60,0,2,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,346025,0,2,55.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,346843,1,3,55.0,1,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,350188,0,3,85.0,1,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,354858,0,3,95.0,1,0,120,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,357668,0,2,15.0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,364177,0,1,75.0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,365244,1,2,5.0,0,0,120,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,365642,0,1,15.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,366483,0,3,45.0,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,368194,1,2,55.0,0,0,120,1,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,368824,0,3,55.0,1,0,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,368963,0,1,5.0,0,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,376439,0,3,15.0,0,0,60,0,2,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,376581,1,2,85.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,380953,0,2,85.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,383254,0,2,95.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,386924,0,1,5.0,0,0,120,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,386952,0,2,75.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,388722,1,1,85.0,1,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,388885,0,2,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,390890,0,2,5.0,0,0,90,0,-1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,392756,0,2,75.0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,392931,1,2,55.0,1,0,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,393207,0,2,65.0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,396872,0,3,55.0,0,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,398552,0,1,95.0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,401869,1,1,85.0,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,402470,0,1,55.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,404804,0,1,25.0,1,0,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,405088,0,2,25.0,0,0,120,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,405961,0,2,95.0,0,0,210,1,-1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,414117,0,2,55.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,415969,0,3,5.0,1,0,90,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,420087,0,2,45.0,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,429958,1,2,75.0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,441018,1,2,75.0,0,0,150,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,441888,0,2,25.0,0,0,120,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,442442,0,3,85.0,0,0,120,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,444677,0,3,35.0,0,0,60,0,2,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,470588,0,3,95.0,1,0,60,0,-1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,489455,1,2,25.0,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,494424,1,2,85.0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,495284,0,3,85.0,0,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,498857,0,3,85.0,1,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,508818,0,2,45.0,0,0,120,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,512460,0,3,95.0,0,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,544103,0,3,45.0,0,0,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,550383,0,3,65.0,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,564450,0,3,85.0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,568601,1,3,35.0,0,0,60,0,-1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,572652,0,3,75.0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,580389,0,3,95.0,0,0,120,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,581129,0,2,35.0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,588775,0,2,95.0,0,0,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,591774,0,4,95.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,603861,0,3,15.0,2,0,60,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,606143,0,4,95.0,1,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,704156,0,3,95.0,2,0,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,705379,0,2,65.0,2,0,120,0,2,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,721259,1,1,55.0,2,0,120,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,749412,0,1,75.0,2,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,760729,0,2,65.0,2,0,60,0,2,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,905042,1,2,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,949618,1,2,55.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,958987,0,3,45.0,1,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,968578,1,2,45.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,969076,0,2,85.0,1,0,180,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,971027,1,3,95.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,978739,0,3,95.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,1035023,1,1,35.0,1,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,1105478,0,3,85.0,2,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,1352868,0,2,25.0,1,0,60,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,1401935,0,2,75.0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,1402638,1,3,35.0,1,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,1414443,1,2,15.0,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,1456619,0,2,95.0,1,0,60,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,1465690,0,3,45.0,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,1472925,1,1,45.0,1,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,1488959,0,2,75.0,1,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,1518989,1,1,85.0,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,1618738,0,1,95.0,1,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,1620151,0,3,95.0,1,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,1626710,0,2,65.0,1,0,60,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,1640609,0,2,35.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,1686521,1,1,55.0,1,0,60,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,1729319,1,3,45.0,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,1746134,0,2,65.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,1758449,0,1,35.0,1,0,75,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,1763015,1,2,15.0,1,0,60,0,-1,0,0,0,0,0,1,0,0,0,0,0,0
